file,evaluation_id,sha256,bytes,frozen_specification_commit
alphabench/main/stats_alphabenchqualitativefiveproviderrc4q1_a43543ed-f47b-4957-a38f-9ef6d4f1675b_individual-responses.json,a43543ed-f47b-4957-a38f-9ef6d4f1675b,00657eeb90ff99fc2d096f411921ba5630683b58476b6ecd7743f77851954535,8608738,77bff1a2f2d50025a807b17ec70e62983dcc5895
alphabench/main/stats_alphabenchqualitativefiveproviderrc4q1_a43543ed-f47b-4957-a38f-9ef6d4f1675b_model.json,a43543ed-f47b-4957-a38f-9ef6d4f1675b,cea81e348980c00beb9eb34c3e1d2e43635e6d9d7688e299a3598537d98031a4,2652848,77bff1a2f2d50025a807b17ec70e62983dcc5895
alphabench/pilot/stats_alphabenchiccpilotfiveproviderrc4_01821ae0-e08a-4a3e-bb99-749e87317054_individual-responses.json,01821ae0-e08a-4a3e-bb99-749e87317054,c908556e9d218ebc391e7be2e20ded701317d07831aed535438bdc61bec4e75f,1520183,77bff1a2f2d50025a807b17ec70e62983dcc5895
alphabench/pilot/stats_alphabenchiccpilotfiveproviderrc4_01821ae0-e08a-4a3e-bb99-749e87317054_question.json,01821ae0-e08a-4a3e-bb99-749e87317054,7223e902045eda3721eaeb55605a78aaa0d313b8cffc207f69b3d021ef05ff41,492129,77bff1a2f2d50025a807b17ec70e62983dcc5895
contentbench/continuation/stats_contentbenchcontinuationrimevscartesiarc4_f567414f-0298-4950-838f-988b23306be5.json,f567414f-0298-4950-838f-988b23306be5,d05155dc523676cd9e383a4a58e7b3f12299b6c16cc186f46227b98093dc8698,577008,77bff1a2f2d50025a807b17ec70e62983dcc5895
contentbench/continuation/stats_contentbenchcontinuationrimevscartesiarc4_f567414f-0298-4950-838f-988b23306be5_individual-responses.json,f567414f-0298-4950-838f-988b23306be5,aef818b95841504fe3b23ece23487a2f66006dc09e797e0db39f36385cb05a87,2211375,77bff1a2f2d50025a807b17ec70e62983dcc5895
contentbench/continuation/stats_contentbenchcontinuationrimevsdeepgramrc4_c6587e19-2dd2-4dfd-ac87-746f3ceb3631.json,c6587e19-2dd2-4dfd-ac87-746f3ceb3631,957a1f03ca46f5973ceb2ff93d230b6dfb7631e17a4023418e921dbac5633b93,572800,77bff1a2f2d50025a807b17ec70e62983dcc5895
contentbench/continuation/stats_contentbenchcontinuationrimevsdeepgramrc4_c6587e19-2dd2-4dfd-ac87-746f3ceb3631_individual-responses.json,c6587e19-2dd2-4dfd-ac87-746f3ceb3631,233bfaf2c99a05b4a0edb7629d5ef4a3ee8cde01f07bf25cd3bad751f752756e,2205498,77bff1a2f2d50025a807b17ec70e62983dcc5895
contentbench/continuation/stats_contentbenchcontinuationrimevselevenlabsrc4_b9ec400b-7cfa-4d05-8492-7b7533cb343f.json,b9ec400b-7cfa-4d05-8492-7b7533cb343f,0746af75b7d4edd0db3c6bab209268d0429a9ad568f3c78afbde800a76178673,581119,77bff1a2f2d50025a807b17ec70e62983dcc5895
contentbench/continuation/stats_contentbenchcontinuationrimevselevenlabsrc4_b9ec400b-7cfa-4d05-8492-7b7533cb343f_individual-responses.json,b9ec400b-7cfa-4d05-8492-7b7533cb343f,157b8bc8e12ae46527303886b9c7ce7ca76a36c82166f4ef2f0e3c54e742f74c,2253372,77bff1a2f2d50025a807b17ec70e62983dcc5895
